,name_road,points
13,I 405 1__b,"[(34.18949, -118.47437), (34.20264, -118.47352), (34.20112, -118.47361000000001), (34.21216, -118.47341000000002)]"
14,I 405 2__a,"[(34.22164, -118.47306999999999), (34.20264, -118.47326000000001), (34.18784, -118.47407)]"
15,I 405 2__b,"[(34.18022, -118.47022), (34.1722, -118.46753000000001), (34.09478, -118.47605)]"
16,CA 170 1__a,"[(34.21979, -118.40931), (34.201640000000005, -118.40366000000002), (34.178779999999996, -118.39469)]"
17,CA 170 1__b,"[(34.171690000000005, -118.38801000000001), (34.16415, -118.38223), (34.15118, -118.3748)]"
18,CA 170 2__a,"[(34.16421, -118.38246000000001), (34.17154, -118.38812)]"
19,CA 170 2__b,"[(34.17886, -118.39497), (34.2, -118.40337)]"
20,CA 110 1__a,"[(34.06712, -118.23973000000001), (34.07505, -118.23256)]"
21,CA 110 1__b,"[(34.0839, -118.22086000000002), (34.09335, -118.20635)]"
22,CA 110 2__a,"[(34.09335, -118.20616000000001), (34.08374, -118.22076000000001), (34.07828, -118.22833999999999)]"
23,CA 110 2__b,"[(34.077870000000004, -118.22871), (34.07314, -118.23388), (34.068709999999996, -118.23661000000001)]"
24,I 210 1__a,"[(34.21846, -118.23931), (34.21356, -118.23113000000001)]"
25,I 210 1__b,"[(34.206990000000005, -118.20237), (34.206720000000004, -118.19991999999999)]"
26,I 210 2__a,"[(34.19638, -118.18441999999999), (34.20584, -118.19803)]"
27,I 210 2__b,"[(34.20663, -118.20101000000001), (34.20983, -118.22351)]"
28,I 5 1__a,"[(34.16588, -118.29808999999999), (34.154070000000004, -118.28711000000001), (34.14226, -118.27786), (34.121990000000004, -118.27178), (34.11521, -118.26825)]"
29,I 5 1__b,"[(34.10658, -118.25544), (34.09458, -118.24278999999999), (34.09017, -118.23848999999998), (34.085809999999995, -118.23182), (34.0593, -118.21451)]"
30,I 5 2__a,"[(34.043009999999995, -118.21723999999999), (34.05767, -118.21435), (34.059870000000004, -118.21491999999999), (34.08406, -118.22973999999999), (34.09579, -118.24427), (34.111670000000004, -118.26501)]"
31,I 5 2__b,"[(34.12121, -118.27163999999999), (34.12769, -118.27372), (34.14224, -118.27812), (34.14847, -118.27968999999999), (34.17115, -118.30538999999999)]"
