,name_road,points
28,CA 17 B__b,"[(37.270267, -121.947353), (37.271687, -121.94703700000001)]"
29,CA 17 B__c,"[(37.293614, -121.937899), (37.296028, -121.939132)]"
30,I 280 B__a,"[(37.344190999999995, -121.845564), (37.341439, -121.849299), (37.338232, -121.854583), (37.334883000000005, -121.86006599999999), (37.335596, -121.858919), (37.328720000000004, -121.870796), (37.327927, -121.87613700000001), (37.327241, -121.88076000000001)]"
31,I 280 B__b,"[(37.32592, -121.88398899999999), (37.324641, -121.888603), (37.323066, -121.89653799999999), (37.322594, -121.89785800000001), (37.321613, -121.89964199999999), (37.315051000000004, -121.91349699999999), (37.316969, -121.924481), (37.316984000000005, -121.923208)]"
32,I 280 B__c,"[(37.317459, -121.93879299999999), (37.316841, -121.952427), (37.316788, -121.95351200000002), (37.317941999999995, -121.977301), (37.324839000000004, -122.00289099999999), (37.331068, -122.014931), (37.332668, -122.06062800000001)]"
33,I 280 A__a,"[(37.332482, -122.060617), (37.333614000000004, -122.049627), (37.334249, -122.030111), (37.329972, -122.013423), (37.329258, -122.01205300000001), (37.319424, -121.993175), (37.316378, -121.972052)]"
34,I 280 A__b,"[(37.316628, -121.95243799999999), (37.317112, -121.941507), (37.316756, -121.92318600000002), (37.316765999999994, -121.921548), (37.314844, -121.913648), (37.315095, -121.914498), (37.321366999999995, -121.899571)]"
35,I 280 A__c,"[(37.322361, -121.8978), (37.32243, -121.89764), (37.324015, -121.89067299999999), (37.325651, -121.883953), (37.32592, -121.88331399999998), (37.327807, -121.874899), (37.328484, -121.870843)]"
36,CA 237 A__a,"[(37.406298, -122.011605), (37.409675, -121.996301), (37.417735, -121.972451)]"
37,CA 237 A__b,"[(37.418931, -121.96282099999999), (37.419313, -121.95548000000001)]"
38,CA 237 A__c,"[(37.420359000000005, -121.93915), (37.420927, -121.93673999999999)]"
39,CA 237 B__a,"[(37.422887, -121.925747), (37.421059, -121.93678), (37.420505, -121.9392), (37.419452, -121.95549799999999)]"
40,CA 237 B__b,"[(37.419185999999996, -121.96283100000001), (37.417981, -121.97254699999999), (37.409627, -121.997252), (37.408833, -122.00098899999999)]"
41,CA 237 B__c,"[(37.406475, -122.01162099999999), (37.402668, -122.02906899999999), (37.401701, -122.03287900000001)]"
42,I 680 B__a,"[(37.334524, -121.860098), (37.337881, -121.85467), (37.342007, -121.847982), (37.341738, -121.84836899999999), (37.344023, -121.845368), (37.358523, -121.840267)]"
43,I 680 B__b,"[(37.360223, -121.84128500000001), (37.368611, -121.84660900000002), (37.372785, -121.850839), (37.379684000000005, -121.85778300000001), (37.385475, -121.86383899999998), (37.391513, -121.87037600000001)]"
44,I 680 B__c,"[(37.398059, -121.87521100000001), (37.40088, -121.876103), (37.40777, -121.878234), (37.416073, -121.880751), (37.420741, -121.882093), (37.427274, -121.88443600000001)]"
45,I 680 A__a,"[(37.427403000000005, -121.884848), (37.420881, -121.882423), (37.412704, -121.880023), (37.407919, -121.878542)]"
46,I 680 A__b,"[(37.398207, -121.875543), (37.391614000000004, -121.870798), (37.383139, -121.861675), (37.379794, -121.85818799999998)]"
47,I 680 A__c,"[(37.372896999999995, -121.851246), (37.366096999999996, -121.84510300000001), (37.360613, -121.841794)]"
