,name_road,points
30,CA 110 1__a,"[(34.06712, -118.23973000000001), (34.07505, -118.23256)]"
31,CA 110 1__b,"[(34.0839, -118.22086000000002)]"
32,CA 110 1__c,"[(34.09335, -118.20635)]"
33,CA 110 2__a,"[(34.09335, -118.20616000000001), (34.08374, -118.22076000000001)]"
34,CA 110 2__b,"[(34.07828, -118.22833999999999), (34.077870000000004, -118.22871)]"
35,CA 110 2__c,"[(34.07314, -118.23388), (34.068709999999996, -118.23661000000001)]"
36,I 210 1__a,"[(34.21846, -118.23931), (34.21356, -118.23113000000001)]"
37,I 210 1__b,"[(34.206990000000005, -118.20237)]"
38,I 210 1__c,"[(34.206720000000004, -118.19991999999999)]"
39,I 210 2__a,"[(34.19638, -118.18441999999999), (34.20584, -118.19803)]"
40,I 210 2__b,"[(34.20663, -118.20101000000001)]"
41,I 210 2__c,"[(34.20983, -118.22351)]"
42,I 5 1__a,"[(34.16588, -118.29808999999999), (34.154070000000004, -118.28711000000001), (34.14226, -118.27786), (34.121990000000004, -118.27178)]"
43,I 5 1__b,"[(34.11521, -118.26825), (34.10658, -118.25544), (34.09458, -118.24278999999999)]"
44,I 5 1__c,"[(34.09017, -118.23848999999998), (34.085809999999995, -118.23182), (34.0593, -118.21451)]"
45,I 5 2__a,"[(34.043009999999995, -118.21723999999999), (34.05767, -118.21435), (34.059870000000004, -118.21491999999999), (34.08406, -118.22973999999999)]"
46,I 5 2__b,"[(34.09579, -118.24427), (34.111670000000004, -118.26501), (34.12121, -118.27163999999999), (34.12769, -118.27372)]"
47,I 5 2__c,"[(34.14224, -118.27812), (34.14847, -118.27968999999999), (34.17115, -118.30538999999999)]"
